question;option1;option2;option3;option4;option4;correct_option_number;question number
"What will the output be after running the following code snippet?\n    if 1 == 1.0:\n        print(""Values are the same"")\n    else:\n        print(""Values are different"")";Values are the same;Values are different;True;False;;0;38
What do you expect the following code to print:\n    nums = [1, 2, 3, 4]\n    nums.append(5)\n    print(nums);[5, 4, 3, 2, 1];[1, 2, 3, 4, 5];[1, 2, 3, 4];[5, 1, 2, 3, 4];;1;39
What will the output be after running the following code snippet?\n    x = 100\n    def glob():\n        global x\n        x = 20\n    glob()\n    print(x);100;20;error;x not defined;;1;40
What will the output be after running the following code snippet?\n    nums = [1, 2, 3]\n    for i in range(len(nums)):\n        nums.insert(i,i+1)\n    print(nums);[1, 1, 2, 2, 3, 3];[1, 2, 3, 1, 2, 3];[1, 2, 3, 3, 2, 1];[1, 2, 3];;2;41
"What will the output be after executing the following code snippet?\n    i=0\n    while i > 3:\n        i+=1\n        print(""Yes"")\n    else:\n        i -=1\n        print(""No"")";error;Yes;No;;;0;42
"What will the output be after running the following code snippet?\n    s1=""Hello Prof Karamagi""\n    print(s1.capitalize())";hello prof karamagi;HelloProfKaramagi;Hello prof karamagi;Hello Prof Karamagi;;2;43
What will the output be after running the following code snippet?\n    t1 = (1, 2, 3)\n    t2 = ('apples', 'banana', 'pears')\n    print(t1 + t2);(1, 2, 3), ('apples', 'banana', pears');(1, 2, 3) + ('apple', 'banana'. 'pears');(1, 2, 3, 'apples', 'banana', 'pears');('apple, 'banana', 'pears', 1, 2, 3);;2;44
"What will happen if the following snippet of code is executed?\n    def greeting(name= """"):\n        print(""Hello"", name)\n    greeting()";"Hello """"";"Hello ""name""";Hello, name;Hello;;3;45
"What will the output be after running the following code snippet?\n    print(""Robert"",""Karamagi"", sep="","")";Robert,Karamagi;"Robert "",""Karamagi";Robert Karamagi;RobertKaramagi;;0;46
"What will the output be after running the following code snippet?\n    marks = 55\n    if marks > 70 and marks < 80:\n        print(""First Class"")\n    elif marks > 60 and marks < 70:\n        print(""Second Class"")\n    elif marks >50 and marks < 60:\n        print(""Third Class"")\n    else:\n        print(""No Class"")";No Class;First Class;Second Class;Third Class;;3;47
What will the output be after running the following code snippet?\n    def tripler(num):\n        def doubler(num):\n            return num *2\n        num = doubler(num)\n        return num * 3\n    print(tripler(2));64;12;7;6;;2;48
What will the output be after running the following code snippet?\n    print(end='',sep='--');--;'';Nothing; no newline/blankline;;3;49
What will the output be after running the following code snippet?\n    nums = [[1, 2, 3]]\n    initializer = 1\n    for i in range(1):\n        initializer *= 10\n        for j in range(1):\n            nums[i][j] *= initializer\n    print(nums);[[10, 2, 3]];[[1, 2, 3]];[[10, 1, 2, 3]];[[10]];;0;50
"What will the output be after running the following code snippet?\n    val = 5\n    print(""less than 10"") if val < 10 else print(""greater than 10"")";not valid;greater than 10;less than 10;syntax error;;3;51
What will the output be after running the following code snippet?\n    d = {'one':2,'two':2}\n    d['one'] = 1\n    print(d);{'one': 0, 'two': 1};{'one': 0, 'two': 2};{'one': 1, 'two': 2};{'one': 1, 'two': 0};;3;52
"What will the output be after running the following code snippet?\n    print(""Python""*2,sep=',')";Python,Python;Python','Python;PythonPython;Python,*2;;3;53
"What will the output be after running the following code snippet?\n    def myprint(*val):\n        print(val)\n    myprint(""Peter"",""Piper"",""Pickled"",""Pepper"")";error;('Peter', 'Piper', 'Pickled', 'Pepper');('Peter');['Peter', 'Piper', 'Pickled', 'Pepper'];;2;54
"What do you expect to be output to the console?\n    if not(True):\n        print(""Hello, World!"")\n    else:\n        print(""Python is Awesome!"")";False;True;Python is Awesome!;Hello, World!;;2;55
What will the output be after running the following code snippet?\n    print (10/5);error;2;2;5;;1;56
What do you expect the following code snippet to printout:\n    tupl = tuple('Python World!')\n    print(tupl[:-7]);('P', 'y', 't', 'h', 'o', 'n');('W', 'o', 'r', 'l', 'd', '!');('n', 'o', 'h', 't', 'y', 'P');[P, y, t, h, o, n];;0;57
What will the output be after running the following code snippet?\n    def fun(a = 3, b = 2):\n        return b ** a\n    print(fun(2));6;4;9;error;;1;58
Python is an example of;a natural language;a high-level programming language;a machine language;;;1;59
A complete set of known commands is called;an instruction list;a low-level list;a machine list;;;0;60
What is source code?;machine code executed by computers;a program written in a high-level programming language;another name for a source file;;;1;61
What do you a call a computer program which directly exectued instructions written in a programming language?;a translator;a compiler;an interpreter;;;2;62
What version of Python is covered by this exam?;Python 3;Python 2;Python 1;;;0;63
What is CPython?;a compiled language used to perfrom high-level programming functions;the default implementation of the Python programming language;another name for Cython, a superset of the Python programming language;;;1;64
What is IDLE?;an acryonym that stands for Integrated Development and Learning Environment for Python;an acryonym that stands for Interactive Development and Learning Extension;a version of Python;;;0;65
What do you call a tool that lets you launch your code step-by-step and inspect it at each moment of execution?;an editor;a debugger;a console;;;1;66
How did Python, the programming language, get its name?;Guido van Rossum named it after the Pythonidae - a family of large, nonvenomous snakes;Guido van Rossum named it to honor Python of Catana, a dramatic poet of the time of Alexander the Great;Guido van Rossum named it to honor Monty Python's Flying Circus, a BBC comedy series popular in the 1970's;;;2;67
Which of the following is an example of a Python file extension?;pi;py;p;;;1;68
What are the four fundamental elements that make a language?;an alphabet, phonetics, phonology, and semantics;an alphabet, morphology, phonetics, and semantics;an alphabet, a lexis, phonetics, and semantics;an alphabet, a lexis, a syntax, and semantics;;3;69
What is CPython?;it's a programming language that is a superset of the C language, designed to produce Python-like performance with code written in C;it's a programming language that is a superset of Python, designed to produce C-like performance with code written in Python;it's the default, reference implementation of Python, written in the C language;it's the default, reference implementation of the C language, written in Python;;2;70
Select the true statements?(Select two answers);Python 3 is backwards compatible with Python 2;Python is a good choice for creating and executing tests for applications;Python is a good choice for low-level programming e.g. what you want to implement an effective driver;Python is free, open-source, and multiplatform;;1&&3;71
What do you call a file containing a program written in a high-level programming language?;a machine file;a target file;a code file;a source file;;3;72
What is the best definition of a script?;a text file that contains instructions which make up a Python program;an error message generated by the interpreter;a text file that contains sequences of zeros and ones;an error message generated by the compiler;;0;73
"What is the expected behavior of the following program?\n    prin(""Goodbye!"")";the program will print Goodbye! to the screen;"the program will output (""Goodbye!"")";the program will generate an error message on the screen;"the program will output ""Goodbye!""";;2;74
"What is the expected behavior of the following program?\n    print(""Hello!"")";"the program will output (""Hello!"") to the screen";the program will generate an error message on the screen;the program will output Hello! to the screen;"the program will output ""Hello!"" to the screen";;2;75
What do you call a command-line interpreter which lets you interact with your OS and execute Python commands and scripts?;an editor;Jython;a compiler;a console;;3;76
What is machine code?;a high-level programming language consisting of instruction lists that humans can read an understand;a medium-level programming language consisting of the assembly code designed for the computer processor;a low-level programming language consisting of hexadecimal digits that make up high-level language with instructions;a low-level programming langauge consisting of binary digits(bits) that the computer reads and understands;;3;77
What is true about compilation? (Select two answers);it tends to be faster than interpretation;it tends to be slower that interpretation;both you and the end user must have the compiler to run your code;the code is coverted directly into machine code executable by the processor;;0&&3;78
The escape character owes its name to the fact that it:;escapes from source files into the computer memory;changes the meaning of the character next to it;cannot be caught due to its high speed;;;2;79
The meaning of the positional paramter is determined by its;position;apperance;name;;;0;80
The most important difference between integer and floating-point numbers lies in the fact that;they cannot be used simultaneously;integers cannot be literals, while floats can;they are stored differently in the computer memory;;;2;81
The 0x prefix means the number after it is denoted as;a hexidecimal;an octal;a decimal;;;0;82
The // operator;does not exist;performs integer divison;performs regular division;;;1;83
The result of the following addition;is equal to 123.0;is equal to 123;cannot be evaluated;;;0;84
Only one of the following statements is true - which one?;addition precedes multiplication;neither statement can be evaluated;multiplication precedes addition;;;2;85
Right-sided binding means that the following expression\n    1 ** 2 ** 3will be evaluated;from left to right;in random order;from right to left;;;2;86
A keyword is a word that(Select two answers);is the most important word in the whole program;cannot be used as a function name;cannot be used as a variable name;;;1&&2;87
A value returned by the input() function is;a string;a float;an integer;;;0;88
What is the output of the following snippet?\n    z = y = x= 1\n    print(x,y,z,sep='*');1*1*1;x y z;x*y*z;1 1 1;;0;89
The value twenty point twelve times ten raised to the power of eight should be written as;20E12.8;20.12E8.0;2012000000;20.12*10^8;;2;90
The print function can output values of;not more than five arguments;any number of arguments (including zero);just one argument;any number of arguments (excluding zero);;1;91
The result of the following division\n    1/1;cannot be predicted;is equal to 1.0;cannot be evaluated;is equal to 1;;1;92
Left-sided binding determines the result of the following expression\n    1 // 2 * 3is equal to;0.166666666666667;0;4.5;0;;3;93
What is the output of the following snippet if the user enters two lines containing 2 and 4 respectively?\n    x = int(input())\n    y = int(input())\n    print(x+y);4;6;2;24;;1;94
What the output of the following snippet if the user enters two lines containing 3 and 6 respectively?\n    x = input()\n    y = int(input())\n    print(x * y);18;666;333333;36;;2;95
The \ n digraph foreces the print() function to;duplicate the character next to the digraph;stop its execution;output exactly two characters \ and n;break the output line;;3;96
Which of the followign variable names are illegal?(Select two answers);TRUE;true;True;and;;2&&3;97
What is the output of the following snippet if the user enters two lines containing 11 and 4 respectively?\n    x = int(input())\n    y = int(input())\n    x = x % y\n    x = x % y\n    y = y % x\n    print(y);3;4;2;1;;0;98
What is the output of the following snippet if the user enters two lines containing 2 and 4 respectively?\n    x = int(input())\n    y = int(input())\n    x = x / y\n    y = y / x\n    print(y);8;4;the code will create a runtime error;2;;1;99
What is the output for the following snippet?\n    x = 1\n    y = 2\n    z = x\n    x = y\n    y = z\n    print(x, y);1 1;2 1;2 2;1 2;;1;100
Which of the following statements are true?(Select two answers);the result of the / operator is always an integer value;addition precedes multiplication;the right argument of the % operator cannot be zero;the ** operator used right-sided binding;;2&&3;101
The ** operator;performs floating-point multiplication;performs expontentiation;does not exist;performs duplicationed multiplication;;1;102
What is the output of the following snippet if the user enters two lines containing 2 and 4 respectively?\n    x = int(input())\n    y = int(input())\n    x = x // y\n    y = y // x\n    print(y);2;4;the code will cause a runtime error;8;;2;103
What is the output of the following snippet if the user enters two lines containing 2 and 4 respectively?\n    x = input()\n    y = input()\n    print(x + y);6;4;24;2;;2;104
What is the output of the following snippet?\n    y = 2 + 3 * 5\n    print(Y);25;the snippet will cause an execution error;17;17;;1;105
The meaning of the keyword parameter is determined binary;the argument's name specified along with its value;its value;its connection with existing variables;its position within the argument list;;0;106
What is the output of the following snippet?\n    x = 1 / 2 + 3 // 3 + 4 ** 2;17;8;8.5;17.5;;3;107
The 0o prefix means that the number after it is denoted as;binary;decimal;hexadecimal;octal;;3;108
What will be the output after running the following code?\n    nums = [1, 2, 3, 4, 5, 6, 7]\n    print(nums[::-5]);[7, 2];[7, 6, 5, 4, 3, 2];[7, 3];SyntaxError;;0;109
"What will be the output after running the following code?\n    for i in range(10,12,2):\n        if i % 2 != 1:\n            print(""No"")\n        else:\n            print(""Yes"")";Yes;True;error;No;;3;110
"What will be the output when the following program is run?\n    tupl = 5,4,""Earth""\n    print(list(tupl))";5,4,'Earth';[5,4];[5, 4, 'Earth'];{5,4,'Earth'};;2;111
"What will the output be after executing this code?\n    x = []\n    y = """"\n    z = -1\n    print(bool(x),bool(y),bool(z))";True True False;False False True;False True False;False False False;;1;112
What is the output of the following print statement ?\n    p = 10\n    q = 10\n    print(p is q);False;True;SyntaxError;10;;1;113
"What is the output when the following code is executed:\n    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]\n    all = list(range(-2)) + vowels\n    print(all)";['o', 'u'];['a', 'e', 'i'];['a', 'e', 'i', 'o', 'u', 'a', 'e', 'i', 'o', 'u'];['a', 'e', 'i', 'o', 'u'];;3;114
What will be the output after running the following code?\n    val = ['Python', 'Tuple']\n    val_t = tuple(val)\n    val_t.pop()\n    print(val_t);AttributeError;['Tuple'];[];['Python'];;0;115
What would the following program print to the console when user inputs 3 and 'Python' to be stored in the a and b variables respectively?\n    a = int(input())\n    b = input()\n    print(a*b);Python Python Python;Python;PythonPythonPython;SyntaxError;;2;116
"What do you expect the following code to produce?\n    greeting = ""Good Morning""\n    for ch in greeting:\n        if ch == 'o':\n            break\n        print(ch)\n    else:\n        print(""Good Night"")";G;Good Night;Good Morning;Go;;0;117
"What will be the output after running the following code?\n    tuple_one = (1, 2, 3)\n    tuple_two = (""Apples"", ""Bananas"")tuple_three = (tuple_one + tuple_two)\n    print(tuple_three)";(1, 2, 3, 'Apples', 'Bananas');SyntaxError;(1, 2, 3)('Apples', 'Bananas');('Apples', 'Bananas', 1, 2, 3);;0;118
Given x and y are two binary numbers, what would the AND (&) operator on these number yield? Note, the bin() function will take a decimal number as an argument and produce a binary number.\n    x = 0b101\n    y = 0b110\n    print(bin(x & y));0b110;0b101;0b001;0b100;;3;119
"What do you expect the following print statement to produce ?\n    str = ""Betty Bought A Bit Of Bitter Butter""\n    print('Butter' in str)";False;Butter;Butter;True;;3;120
"What will be the output after running the following code?\n    if not(True):\n        print(""hi"")\n    else:\n        print(""bye"")";False;error;hi;bye;;3;121
What will the output be after executing this code?\n    h = {'blue': 1, 'red': 2, 'yellow': 3}\n    while len(h) > 2:\n        print(h);error;The program will infinitely print {'blue' : 1,'red' : 2,'yellow': 3} .;{'blue' : 1,'red' : 2,'yellow': 3};Nothing is printed;;1;122
What do you expect the following code to print out:\n    print(5 % 4 ** 2 // 2);1;2;5;error;;1;123
"What will be the output when the following program is run?\n    print(""Hello"",""World"", end="" "")\n    print(""Python"")";Hello World Python;Hello World;HelloWorld Python;HelloWorldPython;;0;124
"What will be the output after running the following code?\n    a=1\n    b=1\n    while a < 2:\n        while b < 2:\n            print(a, "":"", b)\n            b += 1\n            a += 1";1 : 1;1 : 2;2 : 2;2 : 1;;0;125
What will be the output after running the following code?\n    def func(x,y):\n        return x+y\n    print(func(9));9;9+y;0;error;;3;126
"What is the output of the following print statement:\n    greeting = ""Knowledge Is Power""\n    print(greeting[::])";Knowledge Is Power;KnowledgeIsPower;error;Knowledge Is Power;;0;127
What will be the output after running the following code?\n    languages = {'lang1': {1: 'Python'},\n                'lang2': {2: 'Java'}}\n    print (languages['lang1'][1]);error;Java;Python;1;;2;128
What will the output be when the following code is executed?\n    def func(val1 = 2, val2 = 4):\n        print(val1 + val2)\n    func(val2 = 3);Invalid input;5;6;7;;1;129
What will be the output after running the following code?\n    numbers = dict([('first', 3),('second', 1),('third', 2)])\n    print(numbers.pop('second'));1;[('first', 3),('third', 2)];[('first', 3),(1),('third', 2)];second;;0;130
What will the output be after running the following code snippet?\n    a = 'Python'\n    i = 0\n    while i < len(a):\n        i += 1\n    print(i);0,1,2,3,4,5;6;1,2,3,4,5,6;5;;1;131
What is the output of the following code:\n    def func(x):\n        x = [1,2,3]\n        return x\n    x = [4,5,6,7]\n    y = func(x)\n    print(x, y);[1, 2, 3][1, 2, 3];error;[4, 5, 6, 7] [1, 2, 3];[1, 2, 3][4, 5, 6, 7];;2;132
What is the output of the following code:\n    def area_square(side):\n        return side ** 2\n    print(area_square(10));40;100;20;200;;1;133
What is the output of the following code:\n    lst = [1, 2] * 5\n    print(len(lst));10;error;9;5;;0;134
Which of the following statements is incorrect:;An indentation in Python language is mandatory;"The '#' is used as single line comments and the """""" """""" (triple quote) is used as multi-line comments";We don't need to declare the type of a variable in Python program;All the above;;3;135
"What will the output be when the following code is executed?\n    name, phone, location = ""Robert"", 123455667, ""Dar es salaam""\n    print(name, phone, location)";Robert, 123455667, Dar es salaam ;Robert 123455667 Dar es salaam;SyntaxError;Robert' 123455667 'Dar es salaam ';;1;136
Which of the following statements is incorrect (select all that apply):;"The bool(""123"") will return True";"The bool("""") will return True";The bool({}) will return False;The bool(-1) will return False;;1&&3;137
What would be the output of the following code:\n    print(2 % 5 ** 2);1;2;4;25;;1;138
"What will be the output when the following code is executed?\n    p = 10\n    q = 20\n    r = 30\n    if p > 10 and q > 20 and r > 30:\n        print(""True"")\n    else:\n        print(""False"")";False;True;SyntaxError;error;;0;139
What will be the output when the follownig code is executed?\n    val1 = 0b111\n    val2 = val1 << 2\n    print(bin(val2));0b00111;0b11111;0b11110;0b11100;;3;140
What will be the output when the follownig code is executed?\n    val1 = int(input())\n    print(len(val1));error;Type Error: object of type 'int' has no len();4;0;;1;141
"What will be the output of the following print statement?\n    str = ""Hello Python!""\n    str = str[-7:len(str)]\n    print(str)";Hello P;str is a keyword so the assignment isn't valid;Python!;Hello Python!;;2;142
"What is the output of the following code snippet:\n    fruits = (""Apples"", ""Oranges"", ""Bananas"")\n    a, b, c = fruits\n    print(b)";Oranges;'Apple', 'Oranges', 'Bananas';Bananas;error;;0;143
"What will be the output of the following print statement?\n    tupl1 = (1., 2., 3.)\n    tupl2 = (""Earth"", ""Mars"", ""Jupiter"")\n    x = (tupl1 + tupl2)[-3]\n    print(x)";3;error;1.,2.,3.;'Earth';;3;144
Which of the following statements is correct :;A tuple cannot be modified once created, as they are immutable by design;Adding tuples will produce a new tuple;The elements in a tuple can be accessed by using their index position;All of the above;;3;145
"What is the result of the following print statement?\n    groceries_list1 = [""Milk"", ""Cheese""]\n    groceries_list2 = [""Bread"", ""Butter""]\n    groceries_list1.extend(groceries_list2)\n    print(groceries_list1)";['Milk', 'Cheese'];['Bread', 'Butter'];['Milk', 'Cheese', 'Bread', 'Butter'];SyntaxError;;2;146
"What is the result of the following print statement?\n    capitals1 = [""London"",""New York"",""Rome""]\n    capitals2 = capitals1\n    capitals2.remove(""New York"")\n    print(capitals1)";New York;['London', 'Rome'];"[""London"",""New York"",""Rome""]";SyntaxError;;1;147
"What would be the output of the following code when executed?\n    dict = {1:""iOS""}\n    dict[2] = 'Android'\n    print(dict)";{1: 'iOS', 2: 'Android'};{1: 'iOS', 'Android'};{'iOS', 'Android'};{1: 'iOS'};;0;148
"What will be the output of the following code when executed?\n    a=7\n    if a % 2 != 0:\n        elif a > 4:\n            print(""hi"")\n        else:\n            print(""bye"")";hi;bye;SyntaxError;;;1;149
"Is this the correct way to write the code?\n    val = 7\n    print(""hi"")if val < 15 else print(""bye"")";Yes, the syntax is correct.;No, the syntax is incorrect.;;;;0;150
What is the result of the following code when executed?\n    def fun(x = 4, y = 5):\n        y -= 1\n        return x * y * 1\n        print(fun())\n    error;20;19;16;26;;3;151
"What will be the output of the following code when executed?\n    def fun(x):\n        x[-1] = ""c""\n    val = [""a"",""b"",""c"",""d""]\n    fun(val)";\n    print(val);['a', 'b', 'c', 'c'];['a', 'b', 'c', 'd'];['a', 'c', 'c', 'd'];SyntaxError;0;152
"What will be the output of the following code when executed?\n    def fun(x):\n        return [""Tea""]\n    coffees = [""Cappuccino"",""Latte"",""Macchiato""]\n    tea = fun(coffees)";\n    print(tea);Cappuccino', 'Latte', 'Macchiato';['Tea'];Cappuccino', 'Latte', 'Macchiato', 'tea';error;1;153
What will be the output of the following code when executed?\n    def fact(num):\n        if num == 1:\n            return 1\n        return fact(num-1)*num\n    print(fact(4));10;error;24;1;;2;154
"What will be the output of the following code when executed?\n    def grades(param1, param2, *grades):\n        print(param2)\n    print(grades(""Robert"",""Dar es salaam"", [""A"",""A*"",""A+""]))";Dar es salaam;A', 'A*', 'A+';Robert;Robert', 'Dar es salaam', ['A', 'A*', 'A+'];;0;155
"What is the output of the following code?\n    def fun(**names):\n        for key, value in names.items():\n            print(key, value, end="" "", sep="":"")\n    fun(NAME=""Robert"",AGE=29, CITY=""Dar es salaam"")";Robert: 29: Dar es salaam;NAME='Robert, AGE=29, CITY='Dar es salaam';NAME:Robert AGE:29 CITY:Dar es salaam;SyntaxError;;2;156
"What will be the output when the following code is executed?\n    print(""London"",""Berlin"",""Rome"",""end="" "" "")";London Berlin Rome end;London Berlin Rome;London Berlin Rome end=;"London Berlin Rome "" """;;3;157
"What will be the output when the following code is executed?\n    fruits = (""Apples"", ""Oranges"", ""Bananas"")\n    fruit1, fruit2, fruit3 = fruits\n    print(fruit3)";('Apples', 'Oranges');Bananas;Oranges;error;;1;158
What will be the output of the following code?\n    x=5\n    def fun(x):\n        x = x - (x-2)\n        return x\n    print(fun(fun(fun(x-1))));4;2;3;8;;1;159
"What will be the output of the following print statement?\n    tupl = (""bananas"", ""apples"", ""cherries"")\n    print(sorted(tupl))";SyntaxError;['apples', 'bananas', 'cherries'];['bananas', 'apples', 'cherries'];['cherries', 'bananas', 'apples'];;1;160
What will be the output when the following code is executed?\n    count = 0\n    for i in range(0,2):\n        for j in range(0,2):\n            count+=1\n    print(count);0;2;4;1;;2;161
"What will be the output when the following code is executed?\n    str1 = ""Hello""\n    str2 = ""HeLLo""\n    print(str1 == str2.capitalize())";True;False;;;;0;162
"What will the output be when the following code is executed?\n    name1 = name2 = name3 = ""Robert""\n    print(name3)";name2;Robert;name1;SyntaxError;;1;163
What is the output of the following code snippet?\n    a=0\n    b=1\n    while a < 1:\n        while b < 2:\n            print(a, b)\n            a += 1\n     b += 1;1 0 ;0 1 ;1 1 ;1 2 ;;1;164
"What is the output of the following code when executed?\n    me = ""apples"",\n    print(type(me))";SyntaxError;<class 'tuple'>;<class 'str'>;;;1;165
What will be the output when this code is executed?\n    lst = [x for x in range(3)]\n    print(lst);[1, 2, 3];[3];[0, 1, 2, 3];[0, 1, 2];;3;166
